produto_original,categoria_real,categoria_prevista
Livro Educativo Modelo 2 Multikids,Bebês,Brinquedos
Bote Infantil Speedway Friends com Assento para Bebê - Bestway,Brinquedos,Bebês
Kit Refil para Ropo Glass - 6 Peças,Eletroportáteis,Utilidades Domésticas
Capa Protetora p/ Playbook em Silicone Branca - Blackberry,Informática,Celulares e Smartphones
Avião Super Wings Change' Em Up Jett - Intek,Brinquedos,Beleza e Perfumaria
Máquina de Lavar Super Elétrica - Magic Toys,Brinquedos,Eletroportáteis
Protetor Solar Princesas - Girotondo,Bebês,Beleza e Perfumaria
Mousse Condicionador Emy Proteção Térmica 170ml,Beleza e Perfumaria,Bebês
Thomas & Friends Trackmaster - Thomas e Harold Gira-Gira - Mattel,Bebês,Brinquedos
Protetor Solar Princesas - Girotondo,Bebês,Beleza e Perfumaria
Mesa Maxi com Som Rosa Magic Toys,Bebês,Brinquedos
Forno Elétrico Embutir Celebrare Mueller Inox,Eletrodomésticos,Eletroportáteis
Luva Algodão Hanna Barbera Scooby e Shaggy Frightened Cinza - Braun,Utilidades Domésticas,Eletroportáteis
Fone de Ouvido Simples com Microfone Case Mix Branco,Celulares e Smartphones,Eletroportáteis
Mochila Infantil Elefante Verde - Multikids,Bebês,Brinquedos
Máquina de Lavar Super Elétrica - Magic Toys,Brinquedos,Eletroportáteis
Desitin Creamy 113g,Bebês,Brinquedos
Pote para Mantimento Scalla Pequeno Prudence,Utilidades Domésticas,Bebês
Kit Para Montar Suchoj S-37 Berkut - Revell,Brinquedos,Beleza e Perfumaria
Capa Protetora para Galaxy Tab III 7 Samsung Dobrável com Suporte Branca,Informática,Celulares e Smartphones
Suporte de teto para Projetor Universal SBRP757 - Brasforma,Informática e Acessórios,Bebês
Protetor Solar Princesas - Girotondo,Bebês,Beleza e Perfumaria
Manteiga Corporal Calêndula Granado 200g,Beleza e Perfumaria,Brinquedos
SSD Kingston V300 120GB,Informática e Acessórios,Brinquedos
Protetor de Canto de Mesa de Vidro - Love,Bebês,Utilidades Domésticas
Esterilizador de Micro-ondas Maxibaby,Bebês,Eletrodomésticos
"Capa para Tablet Até 10"" Smart Enciclopad - Uatt?",Informática e Acessórios,Informática
Mochila Infantil Elefante Verde - Multikids,Bebês,Brinquedos
Peixe Flippo Ks Kids,Bebês,Brinquedos
Protetor Solar Retrátil - Kababy,Bebês,Beleza e Perfumaria
Case Targus Vuscape para Samsung Galaxy Tab,Informática,Bebês
SSD Kingston V300 120GB,Informática e Acessórios,Brinquedos
Aspirador Nasal Rosa - Lillo,Bebês,Eletroportáteis
